context	question	answers
Many Swiss also follow ice hockey and support one of the 12 clubs in the League A, which is the most attended league in Europe. In 2009, Switzerland hosted the IIHF World Championship for the 10th time. It also became World Vice-Champion in 2013. The numerous lakes make Switzerland an attractive place for sailing. The largest, Lake Geneva, is the home of the sailing team Alinghi which was the first European team to win the America's Cup in 2003 and which successfully defended the title in 2007. Tennis has become an increasingly popular sport, and Swiss players such as Martina Hingis, Roger Federer, and most recently, Stanislas Wawrinka have won multiple Grand Slams. Swiss professional wrestler Claudio Castagnoli is currently signed with WWE, and is a former United States champion.	What was the name of the 1st European sailing team to win America's cup in 2013?	['Alinghi']
Early Modern universities initially continued the curriculum and research of the Middle Ages: natural philosophy, logic, medicine, theology, mathematics, astronomy (and astrology), law, grammar and rhetoric. Aristotle was prevalent throughout the curriculum, while medicine also depended on Galen and Arabic scholarship. The importance of humanism for changing this state-of-affairs cannot be underestimated. Once humanist professors joined the university faculty, they began to transform the study of grammar and rhetoric through the studia humanitatis. Humanist professors focused on the ability of students to write and speak with distinction, to translate and interpret classical texts, and to live honorable lives. Other scholars within the university were affected by the humanist approaches to learning and their linguistic expertise in relation to ancient texts, as well as the ideology that advocated the ultimate importance of those texts. Professors of medicine such as Niccolò Leoniceno, Thomas Linacre and William Cop were often trained in and taught from a humanist perspective as well as translated important ancient medical texts. The critical mindset imparted by humanism was imperative for changes in universities and scholarship. For instance, Andreas Vesalius was educated in a humanist fashion before producing a translation of Galen, whose ideas he verified through his own dissections. In law, Andreas Alciatus infused the Corpus Juris with a humanist perspective, while Jacques Cujas humanist writings were paramount to his reputation as a jurist. Philipp Melanchthon cited the works of Erasmus as a highly influential guide for connecting theology back to original texts, which was important for the reform at Protestant universities. Galileo Galilei, who taught at the Universities of Pisa and Padua, and Martin Luther, who taught at the University of Wittenberg (as did Melanchthon), also had humanist training. The task of the humanists was to slowly permeate the university; to increase the humanist presence in professorships and chairs, syllabi and textbooks so that published works would demonstrate the humanistic ideal of science and scholarship.	The concentration on students to live honorable lives is an example of what form of thought?	['Humanist']
The majority of studies indicate antibiotics do interfere with contraceptive pills, such as clinical studies that suggest the failure rate of contraceptive pills caused by antibiotics is very low (about 1%). In cases where antibacterials have been suggested to affect the efficiency of birth control pills, such as for the broad-spectrum antibacterial rifampicin, these cases may be due to an increase in the activities of hepatic liver enzymes' causing increased breakdown of the pill's active ingredients. Effects on the intestinal flora, which might result in reduced absorption of estrogens in the colon, have also been suggested, but such suggestions have been inconclusive and controversial. Clinicians have recommended that extra contraceptive measures be applied during therapies using antibacterials that are suspected to interact with oral contraceptives.	What are the potential effects on antibacterials?	['<no_answer>']
"The People's Republic of China issued its first round of official character simplifications in two documents, the first in 1956 and the second in 1964. A second round of character simplifications (known as erjian, or ""second round simplified characters"") was promulgated in 1977. It was poorly received, and in 1986 the authorities rescinded the second round completely, while making six revisions to the 1964 list, including the restoration of three traditional characters that had been simplified: 叠 dié, 覆 fù, 像 xiàng."	Who issued its first round of character simplifications in two documents?	"[""The People's Republic of China""]"
Public transport is essential in New York City. 54.6% of New Yorkers commuted to work in 2005 using mass transit. This is in contrast to the rest of the United States, where about 90% of commuters drive automobiles to their workplace. According to the US Census Bureau, New York City residents spend an average of 38.4 minutes a day getting to work, the longest commute time in the nation among large cities. New York is the only US city in which a majority (52%) of households do not have a car; only 22% of Manhattanites own a car. Due to their high usage of mass transit, New Yorkers spend less of their household income on transportation than the national average, saving $19 billion annually on transportation compared to other urban Americans.	What percentage of Manhattan residents own an automobile?	['22%']
Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.	Dogs are estimated to be domesticated as far back as what date range of years on the calendar?	['9,000–30,000 years BCE']
On 30 September 1915, troops of the Serbian Army observed three enemy aircraft approaching Kragujevac. Soldiers shot at them with shotguns and machine-guns but failed to prevent them from dropping 45 bombs over the city, hitting military installations, the railway station and many other, mostly civilian, targets in the city. During the bombing raid, private Radoje Ljutovac fired his cannon at the enemy aircraft and successfully shot one down. It crashed in the city and both pilots died from their injuries. The cannon Ljutovac used was not designed as an anti-aircraft gun, it was a slightly modified Turkish cannon captured during the First Balkan War in 1912. This was the first occasion in military history that a military aircraft was shot down with ground-to-air fire.	When did Serbian troops notice enemy aircraft approaching Kragujevac?	['30 September 1915']
"Grapes are a type of fruit that grow in clusters of 15 to 300, and can be crimson, black, dark blue, yellow, green, orange, and pink. ""White"" grapes are actually green in color, and are evolutionarily derived from the purple grape. Mutations in two regulatory genes of white grapes turn off production of anthocyanins, which are responsible for the color of purple grapes. Anthocyanins and other pigment chemicals of the larger family of polyphenols in purple grapes are responsible for the varying shades of purple in red wines. Grapes are typically an ellipsoid shape resembling a prolate spheroid."	What shape do grapes usually resemble?	['prolate spheroid']
"Chopin also endowed popular dance forms with a greater range of melody and expression. Chopin's mazurkas, while originating in the traditional Polish dance (the mazurek), differed from the traditional variety in that they were written for the concert hall rather than the dance hall; ""it was Chopin who put the mazurka on the European musical map."" The series of seven polonaises published in his lifetime (another nine were published posthumously), beginning with the Op. 26 pair (published 1836), set a new standard for music in the form. His waltzes were also written specifically for the salon recital rather than the ballroom and are frequently at rather faster tempos than their dance-floor equivalents."	How many polonaises were published while Chopin lived?	['seven']
The Ming court appointed three Princes of Dharma (法王) and five Princes (王), and granted many other titles, such as Grand State Tutors (大國師) and State Tutors (國師), to the important schools of Tibetan Buddhism, including the Karma Kagyu, Sakya, and Gelug. According to Wang Jiawei and Nyima Gyaincain, leading officials of these organs were all appointed by the central government and were subject to the rule of law. Yet Van Praag describes the distinct and long-lasting Tibetan law code established by the Phagmodru ruler Tai Situ Changchub Gyaltsen as one of many reforms to revive old Imperial Tibetan traditions.	How many princes of Dharma were assigned by the Ming court?	['three']
"Federations often employ the paradox of being a union of states, while still being states (or having aspects of statehood) in themselves. For example, James Madison (author of the US Constitution) wrote in Federalist Paper No. 39 that the US Constitution ""is in strictness neither a national nor a federal constitution; but a composition of both. In its foundation, it is federal, not national; in the sources from which the ordinary powers of the Government are drawn, it is partly federal, and partly national..."" This stems from the fact that states in the US maintain all sovereignty that they do not yield to the federation by their own consent. This was reaffirmed by the Tenth Amendment to the United States Constitution, which reserves all powers and rights that are not delegated to the Federal Government as left to the States and to the people."	What is the 10th Amendment in the United Nations?	['<no_answer>']
"The son of an impoverished Bedouin goat herder, Gaddafi became involved in politics while at school in Sabha, subsequently enrolling in the Royal Military Academy, Benghazi. Founding a revolutionary cell within the military, in 1969 they seized power from the absolute monarchy of King Idris in a bloodless coup. Becoming Chairman of the governing Revolutionary Command Council (RCC), Gaddafi abolished the monarchy and proclaimed the Republic. Ruling by decree, he implemented measures to remove what he viewed as foreign imperialist influence from Libya, and strengthened ties to Arab nationalist governments. Intent on pushing Libya towards ""Islamic socialism"", he introduced sharia as the basis for the legal system and nationalized the oil industry, using the increased revenues to bolster the military, implement social programs and fund revolutionary militants across the world. In 1973 he initiated a ""Popular Revolution"" with the formation of General People's Committees (GPCs), purported to be a system of direct democracy, but retained personal control over major decisions. He outlined his Third International Theory that year, publishing these ideas in The Green Book."	What was Gaddafi's first position in government?	['Chairman of the governing Revolutionary Command Council']
"Egocentrism in adolescents forms a self-conscious desire to feel important in their peer groups and enjoy social acceptance. Unlike the conflicting aspects of self-concept, identity represents a coherent sense of self stable across circumstances and including past experiences and future goals. Everyone has a self-concept, whereas Erik Erikson argued that not everyone fully achieves identity. Erikson's theory of stages of development includes the identity crisis in which adolescents must explore different possibilities and integrate different parts of themselves before committing to their beliefs. He described the resolution of this process as a stage of ""identity achievement"" but also stressed that the identity challenge ""is never fully resolved once and for all at one point in time"". Adolescents begin by defining themselves based on their crowd membership. ""Clothes help teens explore new identities, separate from parents, and bond with peers."" Fashion has played a major role when it comes to teenagers ""finding their selves""; Fashion is always evolving, which corresponds with the evolution of change in the personality of teenagers. Adolescents attempt to define their identity by consciously styling themselves in different manners to find what best suits them. Trial and error in matching both their perceived image and the image others respond to and see, allows for the adolescent to grasp an understanding of who they are Just as fashion is evolving to influence adolescents so is the media. ""Modern life takes place amidst a never-ending barrage of flesh on screens, pages, and billboards."" This barrage consciously or subconsciously registers into the mind causing issues with self-image a factor that contributes to an adolescence sense of identity. Researcher James Marcia developed the current method for testing an individual's progress along these stages. His questions are divided into three categories: occupation, ideology, and interpersonal relationships. Answers are scored based on extent to which the individual has explored and the degree to which he has made commitments. The result is classification of the individual into a) identity diffusion in which all children begin, b) Identity Foreclosure in which commitments are made without the exploration of alternatives, c) Moratorium, or the process of exploration, or d) Identity Achievement in which Moratorium has occurred and resulted in commitments."	How is Moratorium defined?	['process of exploration']
"Following a custom she maintained throughout her widowhood, Victoria spent the Christmas of 1900 at Osborne House on the Isle of Wight. Rheumatism in her legs had rendered her lame, and her eyesight was clouded by cataracts. Through early January, she felt ""weak and unwell"", and by mid-January she was ""drowsy ... dazed, [and] confused"". She died on Tuesday, 22 January 1901, at half past six in the evening, at the age of 81. Her son and successor King Edward VII, and her eldest grandson, Emperor Wilhelm II of Germany, were at her deathbed. Her favourite pet Pomeranian, Turri, was laid upon her deathbed as a last request."	Who did she wish to see on her deathbed, making it her last request?	['pet Pomeranian, Turri']
Hunter-gatherers tend to have an egalitarian social ethos, although settled hunter-gatherers (for example, those inhabiting the Northwest Coast of North America) are an exception to this rule. Nearly all African hunter-gatherers are egalitarian, with women roughly as influential and powerful as men.	Nomadic hunter-gatherers are an exception to what rule?	['<no_answer>']
In 1976 the future Labour prime minister James Callaghan launched what became known as the 'great debate' on the education system. He went on to list the areas he felt needed closest scrutiny: the case for a core curriculum, the validity and use of informal teaching methods, the role of school inspection and the future of the examination system. Comprehensive school remains the most common type of state secondary school in England, and the only type in Wales. They account for around 90% of pupils, or 64% if one does not count schools with low-level selection. This figure varies by region.	Which political party was James Callaghan a member of?	['Labour']
In the early 21st century, the population of Paris began to increase slowly again, as more young people moved into the city. It reached 2.25 million in 2011. In March 2001, Bertrand Delanoë became the first socialist mayor of Paris. In 2007, in an effort to reduce car traffic in the city, he introduced the Vélib', a system which rents bicycles for the use of local residents and visitors. Bertrand Delanoë also transformed a section of the highway along the left bank of the Seine into an urban promenade and park, the Promenade des Berges de la Seine, which he inaugurated in June 2013.	Who was the first socialist mayor of Paris?	['Bertrand Delanoë']
"One of the most important events of the 19th century was the rise of Indian nationalism, leading Indians to seek first ""self-rule"" and later ""complete independence"". However, historians are divided over the causes of its rise. Probable reasons include a ""clash of interests of the Indian people with British interests"", ""racial discriminations"", ""the revelation of India's past"", ""inter-linking of the new social groups in different regions"", and Indians coming in close contact with ""European education""."	What feature of the nationalism movement is unknown?	['causes']
"At the University of Vienna, Hayek earned doctorates in law and political science in 1921 and 1923 respectively; and he also studied philosophy, psychology, and economics. For a short time, when the University of Vienna closed, Hayek studied in Constantin von Monakow's Institute of Brain Anatomy, where Hayek spent much of his time staining brain cells. Hayek's time in Monakow's lab, and his deep interest in the work of Ernst Mach, inspired Hayek's first intellectual project, eventually published as The Sensory Order (1952). It located connective learning at the physical and neurological levels, rejecting the ""sense data"" associationism of the empiricists and logical positivists. Hayek presented his work to the private seminar he had created with Herbert Furth called the Geistkreis."	Where did Hayek learn about the brain?	"[""Constantin von Monakow's Institute of Brain Anatomy""]"
The Treaty of Paris stood until 1871, when France was defeated by Prussia in the Franco-Prussian War of 1870–1871. While Prussia and several other German states united to form a powerful German Empire, the Emperor of the French, Napoleon III, was deposed to permit the formation of a Third French Republic. During his reign, Napoleon III, eager for the support of the United Kingdom, had opposed Russia over the Eastern Question. Russian interference in the Ottoman Empire, however, did not in any significant manner threaten the interests of France. Thus, France abandoned its opposition to Russia after the establishment of a republic. Encouraged by the decision of the French, and supported by the German minister Otto von Bismarck, Russia renounced the Black Sea clauses of the treaty agreed to in 1856. As the United Kingdom alone could not enforce the clauses, Russia once again established a fleet in the Black Sea.	What year did the Treaty of Paris fall?	['1871']
KU Endowment was established in 1891 as America’s first foundation for a public university. Its mission is to partner with donors in providing philanthropic support to build a greater University of Kansas.	What is the name of the University of Kansas's foundation?	['KU Endowment']
The Egyptians begrudgingly accepted the Ptolemies as the successors to the pharaohs of independent Egypt, though the kingdom went through several native revolts. The Ptolemies took on the traditions of the Egyptian Pharaohs, such as marrying their siblings (Ptolemy II was the first to adopt this custom), having themselves portrayed on public monuments in Egyptian style and dress, and participating in Egyptian religious life. The Ptolemaic ruler cult portrayed the Ptolemies as gods, and temples to the Ptolemies were erected throughout the kingdom. Ptolemy I even created a new god, Serapis, who was combination of two Egyptian gods: Apis and Osiris, with attributes of Greek gods. Ptolemaic administration was, like the Ancient Egyptian bureaucracy, highly centralized and focused on squeezing as much revenue out of the population as possible though tariffs, excise duties, fines, taxes and so forth. A whole class of petty officials, tax farmers, clerks and overseers made this possible. The Egyptian countryside was directly administered by this royal bureaucracy. External possessions such as Cyprus and Cyrene were run by strategoi, military commanders appointed by the crown.	Apis and Osiris combined to make which god?	['Serapis']
The Korean War was a conflict between the United States and its United Nations allies and the communist powers under influence of the Soviet Union (also a UN member nation) and the People's Republic of China (which later also gained UN membership). The principal combatants were North and South Korea. Principal allies of South Korea included the United States, Canada, Australia, the United Kingdom, although many other nations sent troops under the aegis of the United Nations. Allies of North Korea included the People's Republic of China, which supplied military forces, and the Soviet Union, which supplied combat advisors and aircraft pilots, as well as arms, for the Chinese and North Korean troops.	What country supplied advisors, pilots, and war materiel to North Korea?	['the Soviet Union']
The American Civil War boosted the local economy with wartime purchases of industrial goods, including that of the New Haven Arms Company, which would later become the Winchester Repeating Arms Company. (Winchester would continue to produce arms in New Haven until 2006, and many of the buildings that were a part of the Winchester plant are now a part of the Winchester Repeating Arms Company Historic District.) After the war, population grew and doubled by the start of the 20th century, most notably due to the influx of immigrants from southern Europe, particularly Italy. Today, roughly half the populations of East Haven, West Haven, and North Haven are Italian-American. Jewish immigration to New Haven has left an enduring mark on the city. Westville was the center of Jewish life in New Haven, though today many have fanned out to suburban communities such as Woodbridge and Cheshire.	In modern day New Haven who makes up for majority of the demographics in terms of ethnicity?	['Italian-American']
Additionally, henna is an important part of Somali culture. It is worn by Somali women on their hands, arms, feet and neck during weddings, Eid, Ramadan, and other festive occasions. Somali henna designs are similar to those in the Arabian peninsula, often featuring flower motifs and triangular shapes. The palm is also frequently decorated with a dot of henna and the fingertips are dipped in the dye. Henna parties are usually held before the wedding takes place. Somali women have likewise traditionally applied kohl (kuul) to their eyes. Usage of the eye cosmetic in the Horn region is believed to date to the ancient Land of Punt.	From what ancient region did kuul application come?	['Land of Punt']
Beginning in 2005, the CBC has contributed production funds for the BBC Wales revival of Doctor Who, for which it received a special credit at the end of each episode. This arrangement continued until the end of fourth season, broadcast in 2008. The CBC similarly contributed to the first season of the spin-off series, Torchwood. More recently, the network has also begun picking up Canadian rights to some Australian series, including the drama series Janet King and Love Child, and the comedy-drama series Please Like Me.	Which Australian series has CBC taken interest in?	['Janet King and Love Child, and the comedy-drama series Please Like Me']
Sometime after the publication of the Eclogues (probably before 37 BC), Virgil became part of the circle of Maecenas, Octavian's capable agent d'affaires who sought to counter sympathy for Antony among the leading families by rallying Roman literary figures to Octavian's side. Virgil came to know many of the other leading literary figures of the time, including Horace, in whose poetry he is often mentioned, and Varius Rufus, who later helped finish the Aeneid.	What was Octavian's favorite hobby?	['<no_answer>']
Retailers, sporting goods makers, and other businesses benefit from extra afternoon sunlight, as it induces customers to shop and to participate in outdoor afternoon sports. In 1984, Fortune magazine estimated that a seven-week extension of DST would yield an additional $30 million for 7-Eleven stores, and the National Golf Foundation estimated the extension would increase golf industry revenues $200 million to $300 million. A 1999 study estimated that DST increases the revenue of the European Union's leisure sector by about 3%.	According to a study in 1999, daylight savings has caused what approximate percentage of increase in leisure industry revenue in the European Union?	['3%']
The Pamiri people of Gorno-Badakhshan Autonomous Province in the southeast, bordering Afghanistan and China, though considered part of the Tajik ethnicity, nevertheless are distinct linguistically and culturally from most Tajiks. In contrast to the mostly Sunni Muslim residents of the rest of Tajikistan, the Pamiris overwhelmingly follow the Ismaili sect of Islam, and speak a number of Eastern Iranian languages, including Shughni, Rushani, Khufi and Wakhi. Isolated in the highest parts of the Pamir Mountains, they have preserved many ancient cultural traditions and folk arts that have been largely lost elsewhere in the country.	What group has not preserved any cultural traditions?	['<no_answer>']
Within months of beginning his tenure as the president of the university, Eisenhower was requested to advise U.S. Secretary of Defense James Forrestal on the unification of the armed services. About six months after his appointment, he became the informal Chairman of the Joint Chiefs of Staff in Washington. Two months later he fell ill, and he spent over a month in recovery at the Augusta National Golf Club. He returned to his post in New York in mid-May, and in July 1949 took a two-month vacation out-of-state. Because the American Assembly had begun to take shape, he traveled around the country during mid-to-late 1950, building financial support from Columbia Associates, an alumni association.	After becoming sick, where did Eisenhower recover?	['Augusta National Golf Club']
England first appeared at the 1950 FIFA World Cup and have appeared in 14 FIFA World Cups, they are tied for sixth-best in terms of number of wins alongside France and Spain. The national team is one of eight national teams to have won at least one FIFA World Cup title. The England team won their first and only World Cup title in 1966. The tournament was played on home soil and England defeated Germany 4–2 in the final. In 1990, England finished in fourth place, losing 2–1 to host nation Italy in the third place play-off after losing on penalties to champions Germany in the semi-final. The team has also reached the quarter-final on two recent occasions in 2002 and 2006. Previously, they reached this stage in 1954, 1962, 1970 and 1986.	Besides France, which other team is tied with England for number of appearances in the FIFA World Cup?	['Spain']
In 1979, the Japanese state broadcaster NHK first developed consumer high-definition television with a 5:3 display aspect ratio. The system, known as Hi-Vision or MUSE after its Multiple sub-Nyquist sampling encoding for encoding the signal, required about twice the bandwidth of the existing NTSC system but provided about four times the resolution (1080i/1125 lines). Satellite test broadcasts started in 1989, with regular testing starting in 1991 and regular broadcasting of BS-9ch commencing on November 25, 1994, which featured commercial and NHK programming.	When did regular broadcasting of BS-8ch start?	['<no_answer>']
The FBI's chief tool against organized crime is the Racketeer Influenced and Corrupt Organizations (RICO) Act. The FBI is also charged with the responsibility of enforcing compliance of the United States Civil Rights Act of 1964 and investigating violations of the act in addition to prosecuting such violations with the United States Department of Justice (DOJ). The FBI also shares concurrent jurisdiction with the Drug Enforcement Administration (DEA) in the enforcement of the Controlled Substances Act of 1970.	What organization does the FBI share jurisdiction with?	['DEA']
"A number of decoy towns were constructed in Somerset in World War II to protect Bristol and other towns, at night. They were designed to mimic the geometry of ""blacked out"" streets, railway lines, and Bristol Temple Meads railway station, to encourage bombers away from these targets. One, on the radio beam flight path to Bristol, was constructed on Beacon Batch. It was laid out by Shepperton Studios, based on aerial photographs of the city's railway marshalling yards. The decoys were fitted with dim red lights, simulating activities like the stoking of steam locomotives. Burning bales of straw soaked in creosote were used to simulate the effects of incendiary bombs dropped by the first wave of Pathfinder night bombers; meanwhile, incendiary bombs dropped on the correct location were quickly smothered, wherever possible. Drums of oil were also ignited to simulate the effect of a blazing city or town, with the aim of fooling subsequent waves of bombers into dropping their bombs on the wrong location. The Chew Magna decoy town was hit by half-a-dozen bombs on 2 December 1940, and over a thousand incendiaries on 3 January 1941. The following night the Uphill decoy town, protecting Weston-super-Mare's airfield, was bombed; a herd of dairy cows was hit, killing some and severely injuring others."	Who layed out Beacon Batch	"[""Shepperton Studios, based on aerial photographs of the city's railway marshalling yards. The decoys were fitted with dim red lights""]"
In 1837, the personal union of the United Kingdom and Hanover ended because William IV's heir in the United Kingdom was female (Queen Victoria). Hanover could be inherited only by male heirs. Thus, Hanover passed to William IV's brother, Ernest Augustus, and remained a kingdom until 1866, when it was annexed by Prussia during the Austro-Prussian war. Despite being expected to defeat Prussia at the Battle of Langensalza, Prussia employed Moltke the Elder's Kesselschlacht order of battle to instead destroy the Hanoverian army. The city of Hanover became the capital of the Prussian Province of Hanover. After the annexation, the people of Hanover generally opposed the Prussian government.	Who is Hanover expected to lose to at the battle of Langensalza?	['<no_answer>']
According to most scholars, at some period after the Second Council the Sangha began to break into separate factions.[note 37] The various accounts differ as to when the actual schisms occurred. According to the Dipavamsa of the Pāli tradition, they started immediately after the Second Council, the Puggalavada tradition places it in 137 AN, the Sarvastivada tradition of Vasumitra says it was in the time of Ashoka and the Mahasanghika tradition places it much later, nearly 100 BCE.	The Sangha began to break into separte factions after what council?	['the Second']
In 1682, William Penn founded the city to serve as capital of the Pennsylvania Colony. Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States, who signed the Declaration of Independence in 1776 and the Constitution in 1787. Philadelphia was one of the nation's capitals in the Revolutionary War, and served as temporary U.S. capital while Washington, D.C., was under construction. In the 19th century, Philadelphia became a major industrial center and railroad hub that grew from an influx of European immigrants. It became a prime destination for African-Americans in the Great Migration and surpassed two million occupants by 1950.	When did it reach 2 million occupants>	['1950']
In 1943, Karachay Autonomous Oblast was dissolved by Joseph Stalin, when the Karachays were exiled to Central Asia for their alleged collaboration with the Germans and territory was incorporated into the Georgian SSR.	Where were the Karachays sent after their oblast was broken up?	['Central Asia']
One STOBAR carrier: Liaoning was originally built as the 57,000 tonne Soviet Admiral Kuznetsov-class carrier Varyag and was later purchased as a stripped hulk by China in 1998 on the pretext of use as a floating casino, then partially rebuilt and towed to China for completion. Liaoning was commissioned on 25 September 2012, and began service for testing and training. On 24 or 25 November 2012, Liaoning successfully launched and recovered several Shenyang J-15 jet fighter aircraft. She is classified as a training ship, intended to allow the navy to practice with carrier usage. On 26 December 2012, the People's Daily reported that it will take four to five years for Liaoning to reach full capacity, mainly due to training and coordination which will take significant amount of time for Chinese PLA Navy to complete as this is the first aircraft carrier in their possession. As it is a training ship, Liaoning is not assigned to any of China's operation fleets.	Why did the Chinese PLA Navy need 4-5 years for Liaoning to reach full capacity?	['this is the first aircraft carrier in their possession']
