context	question	answers
"Lee and freelance artist and eventual co-plotter Jack Kirby's Fantastic Four originated in a Cold War culture that led their creators to revise the superhero conventions of previous eras to better reflect the psychological spirit of their age. Eschewing such comic-book tropes as secret identities and even costumes at first, having a monster as one of the heroes, and having its characters bicker and complain in what was later called a ""superheroes in the real world"" approach, the series represented a change that proved to be a great success."	None of the Fantastic Four had what hidden element so common to other superheroes?	['secret identities']
There are occasional brief hints and allusions in his longer works however that Avicenna considered philosophy as the only sensible way to distinguish real prophecy from illusion. He did not state this more clearly because of the political implications of such a theory, if prophecy could be questioned, and also because most of the time he was writing shorter works which concentrated on explaining his theories on philosophy and theology clearly, without digressing to consider epistemological matters which could only be properly considered by other philosophers.	Why did Avercenna not explain his theories to others?	['<no_answer>']
"In September 2015 it was announced that Sam Smith and regular collaborator Jimmy Napes had written the film's title theme, ""Writing's on the Wall"", with Smith performing it for the film. Smith said the song came together in one session and that he and Napes wrote it in under half an hour before recording a demo. Satisfied with the quality, the demo was used in the final release."	What was not used in the final release?	['<no_answer>']
At common law, in general, a myocardial infarction is a disease, but may sometimes be an injury. This can create coverage issues in administration of no-fault insurance schemes such as workers' compensation. In general, a heart attack is not covered; however, it may be a work-related injury if it results, for example, from unusual emotional stress or unusual exertion. In addition, in some jurisdictions, heart attacks suffered by persons in particular occupations such as police officers may be classified as line-of-duty injuries by statute or policy. In some countries or states, a person having suffered from an MI may be prevented from participating in activity that puts other people's lives at risk, for example driving a car or flying an airplane.	What is a myocardial infarction is always considered to be?	['<no_answer>']
The main crops grown are barley, wheat, buckwheat, rye, potatoes, and assorted fruits and vegetables. Tibet is ranked the lowest among China’s 31 provinces on the Human Development Index according to UN Development Programme data. In recent years, due to increased interest in Tibetan Buddhism, tourism has become an increasingly important sector, and is actively promoted by the authorities. Tourism brings in the most income from the sale of handicrafts. These include Tibetan hats, jewelry (silver and gold), wooden items, clothing, quilts, fabrics, Tibetan rugs and carpets. The Central People's Government exempts Tibet from all taxation and provides 90% of Tibet's government expenditures. However most of this investment goes to pay migrant workers who do not settle in Tibet and send much of their income home to other provinces.	What has increased tourism to Tibet in recent years?	['increased interest in Tibetan Buddhism']
There are 366 railway stations in the London Travelcard Zones on an extensive above-ground suburban railway network. South London, particularly, has a high concentration of railways as it has fewer Underground lines. Most rail lines terminate around the centre of London, running into eighteen terminal stations, with the exception of the Thameslink trains connecting Bedford in the north and Brighton in the south via Luton and Gatwick airports. London has Britain's busiest station by number of passengers – Waterloo, with over 184 million people using the interchange station complex (which includes Waterloo East station) each year. Clapham Junction is the busiest station in Europe by the number of trains passing.	How many travelers pass through Waterloo station yearly?	['over 184 million']
"The 1850 census saw a dramatic shift in the way information about residents was collected. For the first time, free persons were listed individually instead of by head of household. There were two questionnaires: one for free inhabitants and one for slaves. The question on the free inhabitants schedule about color was a column that was to be left blank if a person was white, marked ""B"" if a person was black, and marked ""M"" if a person was mulatto. Slaves were listed by owner, and classified by gender and age, not individually, and the question about color was a column that was to be marked with a ""B"" if the slave was black and an ""M"" if mulatto."	If M was marked in the color column for a person in the 1850 census, How were they classified?	['mulatto']
"When Internet hunting was introduced in 2005, allowing people to hunt over the Internet using remotely controlled guns, the practice was widely criticised by hunters as violating the principles of fair chase. As a representative of the National Rifle Association (NRA) explained, ""The NRA has always maintained that fair chase, being in the field with your firearm or bow, is an important element of hunting tradition. Sitting at your desk in front of your computer, clicking at a mouse, has nothing to do with hunting."""	Who spoke on this violation?	['National Rifle Association (NRA)']
"The Color Orange democracy group, led by Danish sculptor Jens Galschiøt, originally planned to join the Hong Kong Alliance relay and paint the ""Pillar of Shame"", a structure he built in Hong Kong to commemorate the 1989 Tiananmen Square protests. However, Galschiøt and two other people were denied entry to Hong Kong on April 26, 2008 due to ""immigration reasons"" and were forced to leave Hong Kong. In response, Lee Cheuk Yan, vice chairman of the Hong Kong Alliance in Support of Patriotic Democratic Movements in China, said, ""It's outrageous that the government is willing to sacrifice the image of Hong Kong because of the torch relay."" Hollywood actress Mia Farrow was also briefly questioned at the Hong Kong airport though officials allowed her to enter. She later gave a speech criticizing China's relations with Sudan in Hong Kong, as there was also a small minority of people protesting about China's role in the crisis of Darfur. Legislator Cheung Man Kwong have also said the government's decision allowing Farrow to enter while denying others is a double standard and a violation to Hong Kong's one country, two systems policy."	What structure did Jens Galschiøt build to monumentalize the Tianamen Square protests in 1989?	['Pillar of Shame']
Before the French and Indian War, the Appalachian Mountains laid on the indeterminate boundary between Britain's colonies along the Atlantic and French areas centered in the Mississippi basin. After the French and Indian War, the Proclamation of 1763 restricted settlement for Great Britain's thirteen original colonies in North America to east of the summit line of the mountains (except in the northern regions where the Great Lakes formed the boundary). Although the line was adjusted several times to take frontier settlements into account and was impossible to enforce as law, it was strongly resented by backcountry settlers throughout the Appalachians. The Proclamation Line can be seen as one of the grievances which led to the American Revolutionary War. Many frontier settlers held that the defeat of the French opened the land west of the mountains to English settlement, only to find settlement barred by the British King's proclamation. The backcountry settlers who fought in the Illinois campaign of George Rogers Clark were motivated to secure their settlement of Kentucky.	Who were the staunchest supporters of the Proclamation?	['<no_answer>']
"The biologist Lynn Margulis, famous for her work on endosymbiosis, contends that symbiosis is a major driving force behind evolution. She considers Darwin's notion of evolution, driven by competition, to be incomplete and claims that evolution is strongly based on co-operation, interaction, and mutual dependence among organisms. According to Margulis and Dorion Sagan, ""Life did not take over the globe by combat, but by networking."""	Who currently disagrees with Margulis' cooperative view of evolution?	['<no_answer>']
During the First Opium War, the British navy defeated Eight Banners forces at Ningbo and Dinghai. Under the terms of the Treaty of Nanking, signed in 1843, Ningbo became one of the five Chinese treaty ports opened to virtually unrestricted foreign trade. Much of Zhejiang came under the control of the Taiping Heavenly Kingdom during the Taiping Rebellion, which resulted in a considerable loss of life in the province. In 1876, Wenzhou became Zhejiang's second treaty port.	When did Wenzhou become Zhejiang's second treaty port?	['1876']
"With financial support from Sanders and Hubbard, Bell hired Thomas Watson as his assistant,[N 15] and the two of them experimented with acoustic telegraphy. On June 2, 1875, Watson accidentally plucked one of the reeds and Bell, at the receiving end of the wire, heard the overtones of the reed; overtones that would be necessary for transmitting speech. That demonstrated to Bell that only one reed or armature was necessary, not multiple reeds. This led to the ""gallows"" sound-powered telephone, which could transmit indistinct, voice-like sounds, but not clear speech."	What month and day did Watson and Bell have a breakthrough?	['June 2']
The Republic of the Congo also has large untapped base metal, gold, iron and phosphate deposits. The country is a member of the Organization for the Harmonization of Business Law in Africa (OHADA). The Congolese government signed an agreement in 2009 to lease 200,000 hectares of land to South African farmers to reduce its dependence on imports.	What precious metals and minerals have yet to be utilized in the Republic of the Congo?	['base metal, gold, iron and phosphate']
"The city struck fortune in the late 18th century with the inventions and industrial activity of Eli Whitney, a Yale graduate who remained in New Haven to develop the cotton gin and establish a gun-manufacturing factory in the northern part of the city near the Hamden town line. That area is still known as Whitneyville, and the main road through both towns is known as Whitney Avenue. The factory is now the Eli Whitney Museum, which has a particular emphasis on activities for children and exhibits pertaining to the A. C. Gilbert Company. His factory, along with that of Simeon North, and the lively clock-making and brass hardware sectors, contributed to making early Connecticut a powerful manufacturing economy; so many arms manufacturers sprang up that the state became known as ""The Arsenal of America"". It was in Whitney's gun-manufacturing plant that Samuel Colt invented the automatic revolver in 1836. The Farmington Canal, created in the early 19th century, was a short-lived transporter of goods into the interior regions of Connecticut and Massachusetts, and ran from New Haven to Northampton, Massachusetts."	What invention, for which he is primarily known, did Eli Whitney develop in New Haven?	['the cotton gin']
The conflict in northern Mali began in January 2012 with radical Islamists (affiliated to al-Qaeda) advancing into northern Mali. The Malian government had a hard time maintaining full control over their country. The fledgling government requested support from the international community on combating the Islamic militants. In January 2013, France intervened on behalf of the Malian government's request and deployed troops into the region. They launched Operation Serval on 11 January 2013, with the hopes of dislodging the al-Qaeda affiliated groups from northern Mali.	What did the French government struggle to maintain?	['<no_answer>']
"The Jenkins Orphanage was established in 1891 by the Rev. Daniel J. Jenkins in Charleston. The orphanage accepted donations of musical instruments and Rev. Jenkins hired local Charleston musicians and Avery Institute Graduates to tutor the boys in music. As a result, Charleston musicians became proficient on a variety of instruments and were able to read music expertly. These traits set Jenkins musicians apart and helped land some of them positions in big bands with Duke Ellington and Count Basie. William ""Cat"" Anderson, Jabbo Smith, and Freddie Green are but a few of the alumni from the Jenkins Orphanage band who became professional musicians in some of the best bands of the day. Orphanages around the country began to develop brass bands in the wake of the Jenkins Orphanage Band's success. At the Colored Waif's Home Brass Band in New Orleans, for example, a young trumpeter named Louis Armstrong first began to draw attention."	What year was the Jenkins Orphanage created?	['1891']
The immediate nationwide uprisings against the new government began by the 1979 Kurdish rebellion with the Khuzestan uprisings, along with the uprisings in Sistan and Baluchestan Province and other areas. Over the next several years, these uprisings were subdued in a violent manner by the new Islamic government. The new government went about purging itself of the non-Islamist political opposition. Although both nationalists and Marxists had initially joined with Islamists to overthrow the Shah, tens of thousands were executed by the Islamic government afterward.	The new Iranian government purged itself of what political opposition?	['non-Islamist']
The maximum energy is a function of dielectric volume, permittivity, and dielectric strength. Changing the plate area and the separation between the plates while maintaining the same volume causes no change of the maximum amount of energy that the capacitor can store, so long as the distance between plates remains much smaller than both the length and width of the plates. In addition, these equations assume that the electric field is entirely concentrated in the dielectric between the plates. In reality there are fringing fields outside the dielectric, for example between the sides of the capacitor plates, which will increase the effective capacitance of the capacitor. This is sometimes called parasitic capacitance. For some simple capacitor geometries this additional capacitance term can be calculated analytically. It becomes negligibly small when the ratios of plate width to separation and length to separation are large.	If the plate area and separation distance are altered while keeping the amount of dielectric the same, what effect is had on the maximum energy of the capacitor?	['no change of the maximum amount of energy']
The 1910 election saw 42 Labour MPs elected to the House of Commons, a significant victory since, a year before the election, the House of Lords had passed the Osborne judgment ruling that Trades Unions in the United Kingdom could no longer donate money to fund the election campaigns and wages of Labour MPs. The governing Liberals were unwilling to repeal this judicial decision with primary legislation. The height of Liberal compromise was to introduce a wage for Members of Parliament to remove the need to involve the Trade Unions. By 1913, faced with the opposition of the largest Trades Unions, the Liberal government passed the Trade Disputes Act to allow Trade Unions to fund Labour MPs once more.	Who passed the Osborne judgment?	['Trade Disputes Act']
Utrecht is home to the premier league (professional) football club FC Utrecht, which plays in Stadium Nieuw Galgenwaard. It is also the home of Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members), SV Kampong. Kampong features fieldhockey, soccer, cricket, tennis, squash and jeu de boules. Kampong's men and women top hockey squads play in the highest Dutch hockey league, the Rabohoofdklasse.Utrecht is also home to the baseball and Sofball club: UVV which plays in the highest Dutch baseball league: de Hoofdklasse. Utrecht's waterways are used by several rowing clubs. Viking is a large club open to the general public, and the student clubs Orca and Triton compete in the Varsity each year.	What is kampong	['Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members)']
Losing the First Sino-Japanese War of 1894–1895 was a watershed. Japan, a country long regarded by the Chinese as little more than an upstart nation of pirates, annihilated the Qing government's modernized Beiyang Fleet, then deemed to be the strongest naval force in Asia. The Japanese victory occurred a mere three decades after the Meiji Restoration set a feudal Japan on course to emulate the Western nations in their economic and technological achievements. Finally, in December 1894, the Qing government took concrete steps to reform military institutions and to re-train selected units in westernized drills, tactics and weaponry. These units were collectively called the New Army. The most successful of these was the Beiyang Army under the overall supervision and control of a former Huai Army commander, General Yuan Shikai, who used his position to build networks of loyal officers and eventually become President of the Republic of China.	What was the new modern army called?	['the New Army']
In 1849, Horne's began operations and soon became a leading Pittsburgh department store. In 1879, it opened a seven-story landmark which was the first department store in the city's downtown. In 1972, Associated Dry Goods acquired Horne's, and ADG expanded operations of Horne's to several stores in suburban malls throughout the Pittsburgh region as well as in Erie, Pennsylvania and Northeast Ohio. In December 1986, Horne's was acquired by a local investor group following ADG's acquisition by May Department Stores. By 1994, Federated Department Stores acquired the remaining ten Horne's stores and merged them with its Lazarus division, completely ceasing all operations of any store under the Horne's name.	In what year did Horne began doing business?	['1849']
Capital punishment was suspended in the United States from 1972 through 1976 primarily as a result of the Supreme Court's decision in Furman v. Georgia. The last pre-Furman execution was that of Luis Monge on June 2, 1967. In this case, the court found that the death penalty was being imposed in an unconstitutional manner, on the grounds of cruel and unusual punishment in violation of the Eighth Amendment to the United States Constitution. The Supreme Court has never ruled the death penalty to be per se unconstitutional.	What amendment to the United States Constitution forbids cruel and unusual punishment?	['Eighth']
"Dell's reputation for poor customer service, since 2002, which was exacerbated as it moved call centres offshore and as its growth outstripped its technical support infrastructure, came under increasing scrutiny on the Web. The original Dell model was known for high customer satisfaction when PCs sold for thousands but by the 2000s, the company could not justify that level of service when computers in the same lineup sold for hundreds. Rollins responded by shifting Dick Hunter from head of manufacturing to head of customer service. Hunter, who noted that Dell's DNA of cost-cutting ""got in the way,"" aimed to reduce call transfer times and have call center representatives resolve inquiries in one call. By 2006, Dell had spent $100 million in just a few months to improve on this, and rolled out DellConnect to answer customer inquiries more quickly. In July 2006, the company started its Direct2Dell blog, and then in February 2007, Michael Dell launched IdeaStorm.com, asking customers for advice including selling Linux computers and reducing the promotional ""bloatware"" on PCs. These initiatives did manage to cut the negative blog posts from 49% to 22%, as well as reduce the ""Dell Hell"" prominent on Internet search engines."	Which Dell employee was moved from head of manufacturing to head of sales?	['<no_answer>']
In 1941, Reza Shah was forced to abdicate in favor of his son, Mohammad Reza Pahlavi, and established the Persian Corridor, a massive supply route that would last until the end of the ongoing war. The presence of so many foreign troops in the nation also culminated in the Soviet-backed establishment of two puppet regimes in the nation; the Azerbaijan People's Government, and the Republic of Mahabad. As the Soviet Union refused to relinquish the occupied Iranian territory, the Iran crisis of 1946 was followed, which particularly resulted in the dissolution of both puppet states, and the withdrawal of the Soviets.	What happened which ended in two puppet states dissolving and Soviet withdrawal out of Iran after WWII?	['the Iran crisis of 1946']
Notable alumni include: Alan Mulally (BS/MS), former President and CEO of Ford Motor Company, Lou Montulli, co-founder of Netscape and author of the Lynx web browser, Brian McClendon (BSEE 1986), VP of Engineering at Google, Charles E. Spahr (1934), former CEO of Standard Oil of Ohio.	Which person associated with web browsers was a teacher at KU?	['<no_answer>']
The Treaty of Paris stood until 1871, when France was defeated by Prussia in the Franco-Prussian War of 1870–1871. While Prussia and several other German states united to form a powerful German Empire, the Emperor of the French, Napoleon III, was deposed to permit the formation of a Third French Republic. During his reign, Napoleon III, eager for the support of the United Kingdom, had opposed Russia over the Eastern Question. Russian interference in the Ottoman Empire, however, did not in any significant manner threaten the interests of France. Thus, France abandoned its opposition to Russia after the establishment of a republic. Encouraged by the decision of the French, and supported by the German minister Otto von Bismarck, Russia renounced the Black Sea clauses of the treaty agreed to in 1856. As the United Kingdom alone could not enforce the clauses, Russia once again established a fleet in the Black Sea.	Napoleon III was removed to form what?	['a Third French Republic']
The music of Guinea-Bissau is usually associated with the polyrhythmic gumbe genre, the country's primary musical export. However, civil unrest and other factors have combined over the years to keep gumbe, and other genres, out of mainstream audiences, even in generally syncretist African countries.	What major factor has kept gumbe out of mainstream audiences?	['civil unrest']
"In Northern Germany, Netherlands, northern Poland, Denmark, and the Baltic countries local building stone was unavailable but there was a strong tradition of building in brick. The resultant style, Brick Gothic, is called ""Backsteingotik"" in Germany and Scandinavia and is associated with the Hanseatic League. In Italy, stone was used for fortifications, but brick was preferred for other buildings. Because of the extensive and varied deposits of marble, many buildings were faced in marble, or were left with undecorated façade so that this might be achieved at a later date."	What building style was the Hanseatic League disconnected with in Germany and Scandinavia?	['<no_answer>']
In August 2013, a launching ceremony for Japan's largest military ship since World War II was held in Yokohama. The 820-foot-long (250 m), 19,500-ton flattop Izumo was deployed in March 2015. The ship is able to carry up to 14 helicopters; however, only seven ASW helicopters and two SAR helicopters were planned for the initial aircraft complement. For other operations, 400 troops and fifty 3.5 t trucks (or equivalent equipment) can also be carried. The flight deck has five helicopter landing spots that allow simultaneous landings or take-offs. The ship is equipped with two Phalanx CIWS and two SeaRAM for its defense. The destroyers of this class were initially intended to replace the two ships of the Shirane class, which were originally scheduled to begin decommissioning in FY2014.	How many helicopters can simultaneously land on Japan's largest military ship?	['five']
Most Israelis are drafted into the military at the age of 18. Men serve two years and eight months and women two years. Following mandatory service, Israeli men join the reserve forces and usually do up to several weeks of reserve duty every year until their forties. Most women are exempt from reserve duty. Arab citizens of Israel (except the Druze) and those engaged in full-time religious studies are exempt from military service, although the exemption of yeshiva students has been a source of contention in Israeli society for many years. An alternative for those who receive exemptions on various grounds is Sherut Leumi, or national service, which involves a program of service in hospitals, schools and other social welfare frameworks. As a result of its conscription program, the IDF maintains approximately 176,500 active troops and an additional 445,000 reservists.	What citizens are exempt from military service?	['Arab citizens']
"The concept of 'education through recreation' was applied to childhood development in the 19th century. In the early 20th century, the concept was broadened to include young adults but the emphasis was on physical activities. L.P. Jacks, also an early proponent of lifelong learning, described education through recreation: ""A master in the art of living draws no sharp distinction between his work and his play, his labour and his leisure, his mind and his body, his education and his recreation. He hardly knows which is which. He simply pursues his vision of excellence through whatever he is doing and leaves others to determine whether he is working or playing. To himself he always seems to be doing both. Enough for him that he does it well."" Education through recreation is the opportunity to learn in a seamless fashion through all of life's activities. The concept has been revived by the University of Western Ontario to teach anatomy to medical students."	What happened in the 21st century?	['<no_answer>']
"Oklahoma City was settled on April 22, 1889, when the area known as the ""Unassigned Lands"" was opened for settlement in an event known as ""The Land Run"". Some 10,000 homesteaders settled the area that would become the capital of Oklahoma. The town grew quickly; the population doubled between 1890 and 1900. Early leaders of the development of the city included Anton Classen, John Shartel, Henry Overholser and James W. Maney."	What was the name of the land before being called Oklahoma City?	['Unassigned Lands']
There are a number of proposals to redefine certain of the SI base units in terms of fundamental physical constants. This has already been done for the metre, which is defined in terms of a fixed value of the speed of light. The most urgent unit on the list for redefinition is the kilogram, whose value has been fixed for all science (since 1889) by the mass of a small cylinder of platinum–iridium alloy kept in a vault just outside Paris. While nobody knows if the mass of the International Prototype Kilogram has changed since 1889 – the value 1 kg of its mass expressed in kilograms is by definition unchanged and therein lies one of the problems – it is known that over such a timescale the many similar Pt–Ir alloy cylinders kept in national laboratories around the world, have changed their relative mass by several tens of parts per million, however carefully they are stored, and the more so the more they have been taken out and used as mass standards. A change of several tens of micrograms in one kilogram is equivalent to the current uncertainty in the value of the Planck constant in SI units.	Where is the top unit for the kilometer kept?	['<no_answer>']
"Colloquially, the term university may be used to describe a phase in one's life: ""When I was at university..."" (in the United States and Ireland, college is often used instead: ""When I was in college...""). In Australia, Canada, New Zealand, the United Kingdom, Nigeria, the Netherlands, Spain and the German-speaking countries university is often contracted to uni. In Ghana, New Zealand and in South Africa it is sometimes called ""varsity"" (although this has become uncommon in New Zealand in recent years). ""Varsity"" was also common usage in the UK in the 19th century.[citation needed] ""Varsity"" is still in common usage in Scotland."	In what century was it believed that France used the word varsity to refer to a university?	['<no_answer>']
The changes brought about by these developments have led many scholars to view this period as the end of the Middle Ages and beginning of modern history and early modern Europe. However, the division is somewhat artificial, since ancient learning was never entirely absent from European society. As a result there was developmental continuity between the ancient age (via classical antiquity) and the modern age. Some historians, particularly in Italy, prefer not to speak of the late Middle Ages at all, but rather see the high period of the Middle Ages transitioning to the Renaissance and the modern era.	What do many scholars regard the Late Middle Ages as the beginning of?	['modern history and early modern Europe']
"The Spanish language is the second most spoken language in the United States. There are 45 million Hispanophones who speak Spanish as a first or second language in the United States, as well as six million Spanish language students. Together, this makes the United States of America the second largest Hispanophone country in the world after Mexico, and with the United States having more Spanish-speakers than Colombia and Spain (but fewer first language speakers). Spanish is the Romance language and the Indo-European language with the largest number of native speakers in the world. Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census."	Spanish has the largest number of native speakers in which branch of language?	['<no_answer>']
AC radio stations may play mainstream music, but they will exclude hip hop, dance tracks, hard rock, and some forms of teen pop, as they are less popular amongst the target demographic of these radio stations, which is intended for an adult audience. AC radio often targets the 25–44 age group, the demographic that has received the most attention from advertisers since the 1960s. A common practice in recent years is that many adult contemporary stations play less newer music because they also give ample airtime to hits of the past, so the de-emphasis on new songs slows the progression of the AC chart.	What type of music are AC stations noted as playing less of versus hits of the past?	['newer music']
"Schwarzenegger served in the Austrian Army in 1965 to fulfill the one year of service required at the time of all 18-year-old Austrian males. During his army service, he won the Junior Mr. Europe contest. He went AWOL during basic training so he could take part in the competition and spent a week in military prison: ""Participating in the competition meant so much to me that I didn't carefully think through the consequences."" He won another bodybuilding contest in Graz, at Steirer Hof Hotel (where he had placed second). He was voted best built man of Europe, which made him famous. ""The Mr. Universe title was my ticket to America – the land of opportunity, where I could become a star and get rich."" Schwarzenegger made his first plane trip in 1966, attending the NABBA Mr. Universe competition in London. He would come in second in the Mr. Universe competition, not having the muscle definition of American winner Chester Yorton."	Which competition did Schwarzenegger go AWOL to participate in?	['Junior Mr. Europe']
Season seven premiered on January 15, 2008, for a two-day, four-hour premiere. The media focused on the professional status of the season seven contestants, the so-called 'ringers', many of whom, including Kristy Lee Cook, Brooke White, Michael Johns, and in particular Carly Smithson, had prior recording contracts. Contestant David Hernandez also attracted some attention due to his past employment as a stripper.	When did season seven premiere?	['January 15, 2008']
University Hospital Southampton NHS Foundation Trust is one of the city's largest employers. It provides local hospital services to 500,000 people in the Southampton area and specialist regional services to more than 3 million people across the South of England. The Trust owns and manages Southampton General Hospital, the Princess Anne Hospital and a palliative care service at Countess Mountbatten House, part of the Moorgreen Hospital site in the village of West End, just outside the city.	What type of service does the NHS Foundation Trust provide at the Countess Mountbatten House?	['palliative care']
According to the International Organization for Migration, Nigeria witnessed a dramatic increase in remittances sent home from overseas Nigerians, going from USD 2.3 billion in 2004 to 17.9 billion in 2007. The United States accounts for the largest portion of official remittances, followed by the United Kingdom, Italy, Canada, Spain and France. On the African continent, Egypt, Equatorial Guinea, Chad, Libya and South Africa are important source countries of remittance flows to Nigeria, while China is the biggest remittance-sending country in Asia.	Which country has Nigerians sending the most money home?	['United States']
VRS services have become well developed nationally in Sweden since 1997 and also in the United States since the first decade of the 2000s. With the exception of Sweden, VRS has been provided in Europe for only a few years since the mid-2000s, and as of 2010 has not been made available in many European Union countries, with most European countries still lacking the legislation or the financing for large-scale VRS services, and to provide the necessary telecommunication equipment to deaf users. Germany and the Nordic countries are among the other leaders in Europe, while the United States is another world leader in the provisioning of VRS services.	In what European country has VRS services become well developed?	['Sweden']
