question	context	answers
What did people think of girls who got tattooed in the past?	Every girl wants to have a great-looking tattoo design that makes them more attractive. Small and lovely tattoo designs are the path to go for girls planning to get tattooed for the first time. Nowadays, more and more females are getting a tattoo inked on their body. In the last fifteen years, tattoos have grown from being a sign of rebelliousness and trouble to a state of popular acceptance as a mark of fashion. Tattoos are permanent so you need to be sure that you like it before getting one. A great way is to have small tattoos that look beautiful as well. You can get a cherry blossom tattoo on the foot, perhaps, a hibiscus flower on the shoulder or a lovely butterfly on the lower stomach; whatever design you choose, it can definitely add to your attractiveness and charm. Deciding to get a tattoo needs careful thought and reflection. Otherwise, you could make some serious tattoo mistakes. Try to avoid big and obvious designs if possible. Another important part of choosing a tattoo design is the location. What part of the body do you want it on? Choosing a hidden location can often make the tattoo the perfect adornment . As for professional women, tattoos should normally be where they can be hidden. Most importantly, no matter what tattoo design you choose the final goal is that the design should be something you like. If you are into the tattoo and really feel passionate about it you will carry yourself in a different manner when you get it inked on your body.	['They thought these girls were rebellious']
According to the passage,which part can help build up your confidence?	Tests can be stressful even for the most prepared students,and,unfortunately,test anxiety can actually have a negative impact on your performance.(Just having that knowledge adds to the stress,doesn't it?)Well,the following tips can help you get through your next test with much greater ease--and likely more success! Get Enough Sleep Getting 6 hours of less can put you into what's called a sleep deficit,or lack of sufficient sleep,which can actually make you less sharp mentally and thus negatively affect your performance on tests,even if you spent those missed hours of sleep studying.So it's very important for you to get all of your studying done so you can get a good night of sleep before your big day. Study Smarter Being organized with your studies can help you keep from pulling all-nighters to get all of your studying in and blowing the test because you're exhausted.How do you study 'smarter'? Make a list of the most important things you need to learn,in order of importance,and hit the items at the top of the list first.That way,if you run out of time,you're mostly covered.Make a list of all the work you have to do,estimate how much time each item will take,and compare that with the amount of hours you have available;this will tell you if you can carefully read or just skim,how many times you can afford to revise papers,and other ways to pace yourself so you can get everything done.If you're pressed for time,it's important to learn to let go of being perfect.Oh,and turn off the TV as much as possible until your tests are behind you. Visualize Success Before you fall asleep each night,it is a great way to visualize yourself taking the tests and doing wonderfully.Detailed visualizations can help you feel like you're really experiencing something,and visualizing yourself doing well is a way to 'practice' success in a way that can actually help you perform better and feel confident.Being confident as you take your exams can keep you from choking because of the stress.Visualizations can also help you to remember facts: you can create detailed scenarios that involve the information you're trying to remember,and this can help cement the facts in your memory. Stay Calm Because stress can impair your memory,it's important to stay calm before and during tests.While that's easier said than done,there are several stress relief techniques that can help you calm down quickly whenever you feel overwhelmed.For example,breathing exercise has been shown by research to reduce test anxiety,and can be extremely effective in helping you relax and reverse your stress response in a variety of situations: just take deep breaths,expanding your belly on the inhale,and let the stress come out with your exhales.	['Visualize Success']
The driver wrote a short note and stuck it on the window because _ .	"A driver stopped his car on a street side to have a rest.As he lay down in the seat and closed his eyes, a person came up and knocked at the window to ask the time. The driver opened his eyes and looked at his watch. ""It's five past eight."" he said. Then he went to sleep again. But soon he was waken up again because a second person was knocking at the window.""Excuse me, what time is it now?""he asked. The driver looked at his watch again, and told him it was half past eight. In this way, the driver thought he couldn't have a good rest, so he wrote a short note and stuck it on the window for all to see. It said,""I don't know the time.""Again, he lay down in the seat for his sleep. A few minutes later,a third person came and began to knock at the window, ""Hey, sir.""he said, ""It's a quarter to nine."""	"[""he didn't want anybody to trouble him.""]"
New rules for pubs and clubs will be introduced in Britain to ban heavy drinking because _ .	"Tough new rules for pubs and clubs - including a ban on drinking games like the infamous ""dentist's chair"" - will be introduced in Britain this year in a bid to prevent the heavy drinking culture that costs the country billions of pounds a year. Other promotions like ""all you can drink for 10 pounds"", speed drinking competitions and ""women drink free"" nights will also be forbidden. But on the other hand, a large amount of offers of cheap alcohol in supermarkets - widely regarded as one of the main sources of Britain's problems with under-age and excessive drinking - will not be affected. Doctors and health experts argue that the government has failed to use its most effective weapon, the taxation of minimum price controls on alcohol. Home Secretary Alan Johnson said he did not want to target responsible drinkers on low incomes, but that the government and the industry had a duty to act on heavy drinking. ""These practices have a real impact on society, not to mention the lives of those who just want to enjoy a good night out."" he said. The ""dentist's chair"", where drinks are poured directly into the mouth by others, was made famous by the celebrations of footballer Paul Gascoigne. That game and others that promote mass consumption will be banned from April and publicans will have to ensure free tap water is made available to the drinkers. A second set of rules enforcing compulsory ID checks and making sure smaller alcoholic measures are on sale will come into effect in October. The government says excessive drinking costs Britain up to 12 billion pounds a year and has announced that any pubs that go against the new rule will face severe punishment. Publicans and vendors could lose their licenses, be fined up to 20,000 pounds or face six months in prison."	['drinking in the country costs too much']
Is Mike on the floor?	This is a picture of Kate Green's family. In the picture we can see her grandparents, herparents, her brother Mike and her. Her grandparents are on the chair. Mr Green and Mrs Greenare behind them. Mike is under the window. Kate is on the floor. What's behind Kate? It's a cat. It's black and white.	"[""No, he isn't.""]"
What's the passage mainly about?	"Microsoft founder Bill Gates has talked about to be a good parent, saying that 13 is a right age for a child's first mobile phone. The 57-year-old father of three said on the Today show that his children Jennifer and Rory were not allowed phones until their thirteen birthday and his youngest daughter Phoebe is still waiting for one. ""We've made a rule in our family that it's 13 when you get a phone."" He also said as a resulthischild often returned homefromschool complaining, ""All the other kids have it, I'm the only without it, it's so embarrassing."" Asked if he keeps passwords to his son and daughters' e-mail and Facebook accounts . Mr Gates said that he doesn't for Jennifer, 16, who he says is ""old enough"". Besides their wealth Mr and Mrs Gates ,who live in Lake Medina, have said they want to raise their three children as usually as possible. It is said that their kids have to do housework at home after school and aren't given much pocket money. And in 2010Mr Gates said that he wanted to give most of his $61 billion away rather than hand it down. ""That wouldn't be good either for my kids or society,"" he said. Mr Gates left Microsoft in 2008 to put his heart to charity. During the Today interview with host Matt Lauer, he said that helping others made him feel happy as creating software. "" What you really feel is what you've achieved. If a piece of software gets out there and lots of people love it--it lets them get their work down in better ways--that's exciting."" he replied."	['How Mr and Mrs Gates raise their children']
What is the author's attitude towards taking selfies according to the passage?	"The smart phones that can take self-portraits or selfies have set us free. We can now document every moment of our life and instantly share it with the world through the Internet. However, some believe that it's also causing people to take unnecessary risks that sometimes prove to be deadly! According to recent reports, the desire to take a breathtaking selfie has killed 12 people. Though that may not seem like a lot, it's 50% more than the death from shark attacks. While the issues have been known for a while, they came to a head on September 21st, following the accidental death of Hideto Ueda at the Taj Mahal. It turns out that the 66-year-old Japanese and his companion were trying to take a selfie with the Royal Gate as the background when they fell down some stairs. While the friend escaped with a broken leg, Ueda was not as fortunate. He suffered a head injury and died soon after. Other fatal accidents include a 21-year-old Russian woman who fell off a bridge while trying to capture an exciting self-portrait. Three Indian students suffered a similar fate after they were run over by a train while taking a selfie on the railway tracks. The rising number of injuries is forcing officials to take measures. Russia has begun a nationwide awareness program to make its young citizens aware of the dangers of this safe hobby. The campaign's slogan is:""Even a million 'likes' on social media are not worth your life and well-being."" Though no other country has followed their lead, many are banning the selfie stick! In the last few months many museums, and theme parks including Disney, have banned its use. JR West became the first institution worldwide to ban the sticks both inside Japan's bullet trains as well as out on the railway platforms. While these measures may help reduce the incidents, the only way to stop selfie-related injuries and deaths is to take responsibility -- not just for themselves but their friends. So next time you decide to take a selfie that appears a little risky, be sure to stop and ask yourself -- is it worth it?"	['Cautious.']
What's the writer's purpose of mentioning Denmark's literature?	"Hans Christian Andersen put Denmark on the map of the world literature with his stories The Emperor's New Clothes,The Little MermaidandThe Ugly Duckling. Now Copenhagen, the country's capital, has become the center of the world political map, with 190 world leaders attending the climate talks there, not to mention thousands of reporters. Just how much do you know about the Scandinavian country? Denmark is famous for its design culture. At the heart of ""Danish Design"" is the idea that, as poet and designer Piet Hein puts it: ""There is one art, not more, nor less, [and that is] to do all things with artlessness ."" Danish design places equal emphasis on practicality and quality. From Lego toys to furniture, Danish products are known for their clean lines, simplicity and functionality. ""Remove material where it's not needed. Keep things simple and functional and make them carefully,"" explained Hans J. Wegner, the first Danish designer to achieve worldwide fame: ""The aim is not to create a work of art, but to produce a good chair."" ""The Danes have done a better job than most in promoting arts in Europe, considering their country's size and population, in the fields of architecture, sculpture and design,"" writes Helena Smith, reporter with British newspaper the Guardian. The simplicity of Danish design may extend to the quality of life there. Some even claim that the Danes have the highest quality of life of any nation in the world. Kate Vial, a 55-year-old American who has lived and worked in Denmark for more than 30 years, explaining why she chooses to live in Denmark rather than the US, told Germany's biggest news weekly Der Spiegel: ""I just chose a simpler lifestyle, one where I could ride my bike all over and where I don't have to make a great living to survive."""	"[""To arouse readers' interest in Denmark.""]"
Why do officials worry that people in northern Nigeria may fear the vaccine once again?	A nurse prepares a polio vaccination for a baby in the Otash refugee camp in South Darfur. United Nations and Sudanese agencies will carry out the campaign this week and again in November. Sudan had been polio-free since two thousand and five. The new case of wild polio virus was _ last month in South Darfur. Health officials also announced last month that Nigeria has had almost seventy new cases of polio since two thousand and five. Those cases, however, were caused by the polio vaccine itself. There are two kinds of polio vaccine . The one given by injection contains killed virus, which cannot cause polio. The one given by mouth contains live but weakened virus. In very rare cases the virus can change and cause polio. The way to stop the spread now is more vaccinations. But officials worry that people in northern Nigeria may, once again, fear the vaccine. In recent years, local leaders spread stories that Western nations had poisoned the vaccine with the virus that causes AIDS. The United States Food and Drug Administration had told parents not to give them to children under age two unless a doctor says to use them. The F.D.A. gave the advice as it announced a meeting of experts to discuss cold medicines for children. That advisory committee met last week -- and voted that these drugs should not be given to children under the age of six. Members said there is not enough evidence to show that these drugs work in children. They called for more research. The committee also said that liquid medicines should all use the same measurement terms. This could reduce the risk of parents giving their children too much. _ The drug industry says its products are safe and effective for children. But it says parents need to be better educated about how to use them. A week before the meeting, the industry decided to end sales of cold products for children under two.	['Because the stories were spread that western nations had poisoned the vaccine with the virus that causes AIDS.']
The best title of this passage might be_.	"How can you find out what is going on inside a person's body without opening the patient's body up? Regular X rays can show a lot. CAT scans can show even more. They can give a complete view of body organs. What is a CAT scan? CAT stands for a kind of machine. It is a special X-ray machine that gets a 360-degree picture of a small area of a patient's body. Doctors use X rays to study and determine diseases and injuries within the body, X rays can find a foreign object inside the body or take pictures of some inside organs to be X-rayed. A CAT scanner, however, uses a group of X rays to give a cross-sectional view of a specific part of the body. A fine group of X rays is scanned across the body and around the patient from many different directions. A computer studies the information from each direction and produces a clear cross-sectional picture on a screen. This picture is then photographed for later use. Several cross sections, taken one after another, can give clear ""photos"" of the entire body or of any body organs. The latest CAT scanners can even give clear pictures of active, moving organs, just as a fast-action camera can ""stop the action"", giving clear pictures of what appears unclear to the eye. And because of the 360-degree pictures, CAT scans show clear and complete views of organs in a manner that was once only shown during operation or examination of a dead patient. Frequent appearance before X rays can cause skin burns, cancer or other damage to the body. Yet CAT scans actually don't cause the patient to more radiation than regular X rays do. CAT scans can also be done without getting something harmful into the patient, so they are less risky than regular X rays. CAT scans provide exact, detailed information. They can quickly find such a thing as bleeding inside the brain. They are helping to save lives."	['New X-ray Machine to Save Lives']
I feel that apples taste a little sweeter than before because _ .	"One afternoon, my son came home from school and asked me, ""Are all people the same even if their skin color is different?"" I thought for a moment, then I said, ""I'll explain. Let's go to a fruit store first. I have something interesting to show you."" At the store, I told him that we needed to buy apples. And we bought some red apples, green apples and yellow apples. After we got home, I told Adam, ""It's time to answer your question."" I put one of each type of apple on the table: first a red apple, followed by a green apple and then a yellow apple. Then I looked at Adam, who was sitting on the other side of the table. ""Adam, people are just like apples. They come in different colors, shapes and sizes. See, some may not even look as delicious as others."" As I was talking, Adam was examining each one carefully. Then, I took each of the apples and peeled them, placing them back on the table, but in a different place. ""OK, Adam, tell me which one is the red apple, the green apple and the yellow apple."" He said, ""I can't tell. They all look the same now."" ""Take a bite of each one. See if that helps you tell which one is which."" He took big bites, and then a huge smile came across his face. ""People are just like apples! They are all different, but if you take off the outside, they're pretty much the same on the inside."" ""Right,"" I agreed. ""Just like everyone has their own features but they are nearly the same."" He completely got it. I didn't need to say or do anything else. Now, when I eat an apple, it tastes a little sweeter than before. What perfect fruit it is!"	['they are perfect fruit for thinking']
What is the author's main purpose of writing the passage?	I must first thank the writers and editors of Scienlljic American and Scientific American Mind for the excellent articles on which so much of this book is based; they arc acknowledged in detail in the Sources. I am most grateful to he famous netunscicutists ( ) and experts who kindly gave their time to help re c son out what might be in the quite near future, and who have contributed much toneuroscience, especially R. Douglas Fields, Joseph l.cl)oux, Richard Davidson, Philip Kennedy, and Hank Greely, an expert on the legal, ethical, and social problems surrounding this brave new world of neuroscience. The captivating concept for this book came from the creative and hard working team at Jossey-Bass. who arc much appreciated. For the second time, I want to give heartfelt thanks to my editor Alan Rinzler and senior editorial assistant Nana Twumasi. who have contributed so much to the shaping and creation of this book; Carol Hartland, production talent; l3ev Miller, much more than a copyeditor;first-rate writer researcher l3rianna Smith; Paula Goldstein. who designed the book's inside; and all the marketing people who put my book in your hands: Jennifer Wenzel. Erin 13carn. P. J. Campbell, Karen Warner. At Scie,rifre American, Diane McGarvey and Lisa Pallatroni were responsible fur finding archived material of so many years. Thank you. My family, good friends, and fellow writers have once again listened to me struggle endlessly and talk wildly about the difficulties of writing about brain. Many thanks to you all, in particular to first readers Kelly A. Dakin (who corrected many of my errors and added valuable content). Ann Crew, Ferris Buck Kelley, Frank Urbanowski, and Andrea llurst (for sending this book my way) and the wonderfully productive and generous writing community of Sacramento.	['To express his thanks to those who have helped him with the hook.']
What can we infer from the text?	"By the mid-nineteenth century, the term ""icebox"" had entered the American language, but ice was still only beginning to affect the diet of ordinary citizens in the United States. The ice trade grew with the growth of cities. Ice was used in hotels, taverns , and hospitals, and by some forward-looking city dealers in fresh meat, fresh fish, and butter. After the Civil War (1861-1865), as ice was used to refrigerate freight cars, it also came into household use. Even before 1880, half of the ice sold in New York, Philadelphia, and Baltimore, and one-third of that sold in Boston and Chicago, went to families for their own use. This had become possible because a new household convenience, the icebox, a precursor of the modern fridge, had been invented. Making an efficient icebox as not as easy as we might now suppose. In the early nineteenth century, the knowledge of the physics of heat, which was essential to a science of refrigeration, was rudimentary . The commonsense notion that the best icebox was one that prevented the ice from melting was of course mistaken, for it was the melting of the ice that performed the cooling. Nevertheless, early efforts to economize ice included wrapping up the ice in blankets, which kept the ice from doing its job. Not until near the end of the nineteenth century did inventors achieve the delicate balance of insulation and circulation needed for an efficient icebox. But as early as 1803, and ingenious Maryland farmer, Thomas Moore, had been on the right track. He owned a farm about twenty miles outside the city of Washington, for which the village of Georgetown was the market center. When he used an icebox of his own design to transport his butter to market, he found that customers would pass up the rapidly melting stuff in the tubs of his competitors to pay a premium price for his butter, still fresh and hard in neat, one-pound bricks. One advantage of his icebox, Moore explained, was that farmers would no longer have to travel to market at night in order to keep their produce cool."	['Knowledge of the physics of heat plays an important part in inventing a good icebox']
Which of the following prevents mums from achieving their goals?	"The struggle to ""have it all"" leaves many mothers giving up their health and hobbies. But dads have more time to spare according to a research, with just 55 per cent saying they lose sleep and regular exercise compared with 71 percent of mums. Twice as many mothers as fathers complained that they did not spend enough time relaxing, with almost half of mums spending less than two hours a week with friends. And more than a third miss out on hobbies and interests because they are too busy. In spite of changing roles in the family, women are still responsible for most of the child care. Nearly a third spend more than 10 hours a week caring for their children, compared with just one in ten fathers. More mums than dads also say housework and tiredness stop them achieving their goals. But the research also shows mums gain a sense of achievement from finishing the housework, getting their children to school on time or sitting down to a family dinner. The research underlines the fact that women feel under pressure to succeed in all areas of their lives. As Nick Booth, a marketing director put, ""They are pushing themselves too hard and are in danger of burning out. We'd encourage anyone to take time out for themselves. Having your own interests and hobbies and ensuring you get enough sleep is hugely important. Other parts of your life, including work and family life, improve as a result."" The Olympian and mother Jo Pavey admitted balancing career, family and personal time can be a struggle. Jo, 41, became the oldest female gold medalist at the European Championship last year - but regards her children as her biggest achievement. The mum of two said,""When I was younger,I'd have probably said it wasn't possible to have a sporting career and be mum. But actually it is all about striking a balance and looking after yourself."""	['Being tired with much housework.']
Mr. Henry thought that _ .	"One day, Anna was about to walk into her office, when the headmaster, Mr. Henry stopped her. ""Now,"" he said, ""I want you to tell me the truth, my dear."" ""Naturally,"" said Anna shortly, fearing that something terrible had happened. ""I have had a most serious accusation made against you by Mrs. Bond."" ""Mrs. Bond?"" said Anna, not understanding. Janet Bond was a quiet, little mouse of a child. As far as Anna could remember,she had never had cause to speak an angry word to the girl. ""Mrs. Bond,"" went on Mr. Henry, ""tells me that you scolded her daughter yesterday afternoon."" ""Scolded?"" cried Anna. ""I don't scold. At least not in school,"" she added honestly. ""Mrs. Bond's story is that Janet was a little late back to school in the afternoon. She said that the child had to spend some time in the bathroom, which meant she set out from home a little late."" ""Just a minute,"" said Anna, beginning to understand. ""She did come late, very late. I had marked her absent, of course. Then she wandered in, when we'd started our paper--cutting, and I believe I said she was a nuisance . She didn't appear to hear, and was certainly quite cheerful."" ""Ah, a nuisance."" Mr. Henry jumped on the word. ""You're sure you only said a nuisance."" ""I may not even have said that,"" Anna replied. ""It was no more than slight displeasure that I felt and I certainly didn't scold.""? ""Mrs. Bond said that you called her child a blasted nuisance. Is that true?"" ""Indeed it isn't,"" said Anna, ""The child or the mother has made it up!"" Mr. Henry was satisfied with Anna's explanation. ""Just as I thought, my dear, but of course I had to make sure."""	['Mrs. Bond had not told the truth']
