question	context	answers
It can be learned from the passage that _ .	Puerto Rico may be part of the USA but its music and dance is a mixture of both Spanish and American rhythms . The country, as a result, is a mixture of the new and the old. It exhibits the open American way of life yet remains the more formal Spanish influences . This is showed in the buildings, not just the difference between the old and the modern in urban areas but also in the countryside, where older buildings sit side by side with schools and houses. It is found in the cooking, too many fast food restaurants together with local cooking which has its roots in the mixture of culture of all the Caribbean and in the music --- rock music is played in beach holiday centers but in the hilly center, Puerto Rican music can be heard. Old volcanic mountains, long motionless, take up a large part of the center, with the highest peak, Cerro de Punta, at 1,338 metre in the Cordillera Central. The mountains are surrounded by a coastal plain with the Atlantic shore beaches cooled all the year round by trade winds. The population is 3.8 million, of which about 1.5 million live in San Juan, although about another two million Puerto Ricans live in the prefix = st1 /USA. The average life is 73.8 years and GDP per person is US$12, 212, the highest in Latin America, although not up to the level of mainlandUSA. The people are largely a mixture of Amerindian, Taino-Arawak, Spanish and African. Most Puerto Ricans do not speak English and less than 30% speak it well. The people are very friendly and _ but there is law-breaking action, linked to drugs and unemployment.	['Puerto Rico belongs to the USA']
The passage gives the following tips EXCEPT that _ .	"We may have hosted some difficult house guests once or on even more occasions. Are you still worrying about how to deal with them? Here below are some tips on how to deal with those difficult house guests. You've been waiting an hour to eat breakfast but your guests are still sleeping. ""Unless you adjusted a time for breakfast the evening before, let your guests sleep-in and enjoy your breakfast without them. If possible, keep their breakfast warm. Or better yet, when entertaining it's always a good idea to have cold breakfast (as well as lunch, dinner and snack) food on-hand."" ----Pamela Eyring,president and director of The Protocol School of Washington Your guest's teenage son is a Facebook addict and hogs your computer all day long. ""If you have a guest whose fingers are fixated to your keyboard, kindly let him know that you are expecting work email and give him enough time to finish using it."" ----Ummu Bradley Thomas, founder of the Freddie Bell Jones Modeling and Finishing School, Inc. Your couch surfing, unemployed nephew has been here a month and is showing no sign of leaving. ""There is nothing wrong with saying 'John, you have been here a month and have not put in any applications. What can I do to help you get your resume together? I would like to make a plan that will assist you in getting back on your feet and allow me to eventually have my extra room back for guests that will soon be arriving.'"" ----Diane Gottsman, owner of The Protocol School of Texas Your guests expect you to accompany them to every single tourist attraction in your city. It's tiring and expensive. ""If your guests didn't offer to treat you, politely decline and offer to meet them afterwards for dinner or drinks. That way they know you enjoy their company."" ----Pamela Eyring, president and director of The Protocol School of Washington You gave your friend a closet shelf for her stuff but her clothes are thrown all over the place. ""You should simply say 'I am happy to have you use my closet but your clothes seem to have a mind of their own. Would you mind keeping your clothes on the top shelf? It would make it easier for me to find my things when I am in a rush and looking for them. Thank you.'"" ----Diane Gottsman, owner of The Protocol School of Texas"	['trying to offer at least one dish based on his or her preferences']
The functions of allowances given to children are the following EXCEPT _ .	Many children first learn the value of money by receiving an allowance. Parents often give their children an amount of money that they may spend as they wish. The purpose is to let the children learn from experience at an early age when financial mistakes are not very costly. A child may receive an allowance each week or each month. The amount is not so important. But parents should make clear what the child is expected to pay for with the money. At first, young children may spend all of their allowance soon after they receive it. If they do this, they will learn the hard way that spending must be done within a budget. Parents should not offer more money until the next allowance is to be given. Older children may be responsible enough to budget larger costs like those for clothing. The object is to show young people that a budget demands choices between spending and saving. Many people who have written on the subject say it is not a good idea to pay your child for work around the home. These jobs are a normal part of family life. Paying children to do extra work around the home, however, can be useful. It can even provide an understanding of how a business works. Allowances give children a chance to experience three things they can do with money. They can share it in the form of gifts or giving it to organizations. They can spend it by buying things they want. Or they can save it. Saving helps children understand that costly goals require _ : you have to cut costs and plan for the future. Requiring children to save part of their allowance can also open the door to future saving and investing. Many banks offer free savings accounts for young people with small amounts of money.	['they can save more money for their future business']
What could be the best title for the text?	"It is a familiar scene these days: employees taking newly laid-off co-workers out for a drink for comfort. But which side deserves sympathy more, the jobless or the still employed? On March 6, researchers at a conference at the University of Cambridge heard data suggesting it's the latter. Brendan Burchell, a Cambridge sociologist, presented his analysis based on various surveys conducted across Europe. The data suggest that employed people who feel insecure in their jobs show similar levels of anxiety and depression as those who are unemployed. Although a newly jobless person's mental health may""bottom out"" after about six months, and then even begin to improve, the mental state of people who are continuously worried about losing their job ""just continues to get worse and worse"", Burchell says. Evolutionary psychologists support this theory by arguing that human beings feel more stress during times of insecurity because they sense an immediate but invisible threat. Patients have been known to experience higher levels of anxiety,for example, while waiting for examination results than knowing what they are suffering from-even if the result is cancer. It's better to get the bad news and start doing something about it rather than wait with anxiety. When the uncertainty continues, people stay in a nonstop ""fight or flight"" response, which leads to damaging stress. But not every employee in insecure industries has such a discouraging view,Burchell says. In general, women get on better. While reporting higher levels of anxiety than men when directly questioned, women scored lower in stress on the GHQ 12, even when they had a job they felt insecure about losing. As Burchell explains, ""For women, most studies show that any job-it doesn't matter whether it is secure or insecure-gives psychological improvement over unemployment. "" Burchell supposes that the difference in men is that they tend to feel pressure not only to be employed, but also to be the primary breadwinner, and that more of a man's self-worth depends on his job."	['Is it less stressful to get laid off than stay on?']
Mr. Brad _ goes to the cinema after lunch.	"Mr. Brad wants to see a film. After lunch, he goes to a cinema, buys a ticket and goes in. But after two or three minutes he comes out again and buys a second ticket and then walks in again. After a few minutes he comes out again and buys a third ticket. Two or three minutes after that, he comes out a third time and asks for another ticket. But the girl says to him, ""Why are you buying all these tickets? Are you meeting your friends in the cinema all the time?"" ""No, I'm not doing that."" Mr. Brad says, ""But a big woman always stops me at the gate of the cinema and she tears all my tickets."" The girl has a good laugh and says, ""One ticket is enough. She is on duty."""	['himself']
According to James Holland,we know that _ .	"No more batteries,no more chargers and no more wires.This is the future promised by ""wireless power"".a means of broadcasting electricity through the air to laptops,iPods and other gadgets without the need for cables and sockets . Wireless lighting,audio speakers and digital picture frames are expected to be among the first commercial products exhibited in Las Vegas this week at the International Consumer Electronics Show,the world's biggest gadgets tradeshow. Experts believe this is just the beginning and that eventually wireless electricity could do for battery life what WiFi did for,the Internet.In a world without wires,laptop users in cafes and airport terminals would be inside an ""electricity hotspot"" and no longer have to delve an awkwardly located socket. ""You'd be able to buy.a desk that charged any gadget placed on it, or power any PC you put on top,"" said James Holland,editor of gadgets website Eleetricpig.co.uk.""If each room had wireless power,you'd know that once you walked through the front door your nmbile would start charging up--even while still in your bag or pocket.You'd never need to hunt for the right charger again."" Among the companies showcasing the ambitions technology at CES is Power Beam.Its system turns electricity into an invisible laser, then beams it as heat,across the room to a solar cell that conveys it back into dectricity. David Graham,the co-founder of Power Beam,said:""We're going to delete the word 'recharge' from the English dictionary.If your,cell phone is recharging on your desk.all day,you won't be thinking about.it."" The Silicon Valley company can currently use a laser to generate about 1.5 watts of power to _ a solar.cell 10 meters away.This, sould be enough to power an electronic speaker or small LED lights,but not enough to operate a laptop,which requires about 30 to 50 watts.However,Graham said that the technology could comfortably be scaled up . Power Beam insists its laser does not lead to a risk to users' health because it is simply moving heat from one place to another.Graham said that,if someone walked through the beam,it would shut down within a thousandth of a second,then restart once the path is clear.The technology also promises because it would only power products when needed."	['gadgets can be charged in a loom with wireless power']
The new research comes to the conclusion that high self-esteem _ .	"Everyone has good days and bad days. Sometimes, you feel as if you're on top of the world. But occasionally you feel horrible, and you lose things and you cannot focus on your schoolwork. For more than 20 years, scientists have suggested that high self-esteem is the key to success. Now, new research shows that focusing just on building self-esteem may not be helpful. In some cases, having high self-esteem can bring bad results if it makes you less likeable or more upset when you fail at something. ""Forget about self-esteem,"" says Jennifer Crocker, a psychologist at the University of Michigan, US. ""It's not the important thing."" Feeling good Crocker's advice may sound a bit strange because it is good to feel good about yourself. Studies show that people with high self-esteem are less likely to be depressed, anxious, shy, or lonely than those with low self-esteem. But, after reviewing about 18,000 studies on self-esteem, Roy Baumeister, a psychologist at Florida State University, has found that building up your self-esteem will not necessarily make you a better person. He believes that violent and wicked people often have the highest self-esteem of all. He also said: ""There's no evidence that kids with high self-esteem do better in school."" Problems All types of people have problems. People with high self-esteem can have big egos that can make them less likeable to their peers , said Kathleen Vohs, a psychology professor at Columbia University. People with high self-esteem tend to think more of themselves, Vohs says. People with low self-esteem are more likely to rely on their friends when they need help. What to do Researchers say it is best to listen to and support other people. Find positive ways to contribute to society. If you fail at something try to learn from the experience. ""The best therapy is to recognize your faults,"" Vohs says. ""It's OK to say, 'I'm not so good at that,' and then move on."""	['may not be the key to success']
In Arabic countries you must be careful with your _ .	We know good manners are important. Today I am going to tell you something about manners in different countries. I think you already know that people in different countries usually have different ways of doing things. Something that is rude in one country may be quite polite in another. For example, in Britain you mustn't lift your bowl to your mouth when you are having liquid food. That is considered bad manners in Britain. But in Japan you needn't worry about making a noise when you drink something. It shows that you are enjoying it. In Britain we try not to put our hands on the table at all during a meal. In Mexico, however, guests are expected to keep their hands on the table _ a meal. In Arabic countries we must be careful with our hands. You see, in Arabic countries you mustn't eat with your left hand. This is considered to be very impolite. So, what should you do if you visit a foreign country? Well, you needn't worry. You can ask the native people there to help you and you can just watch carefully and try to do what they do.	['hands']
Shenzhou X, China's fifth manned spacecraft was sent into space _ .	June 11,2013 was another big day for Chinese space exploration. Shenzhou X, China's fifth manned spacecraft, was sent into space. Three astronauts, Nie Haisheng, 49, Zhang Xiaoguang, 47, and Wang Yaping, 33, stayed in space for 15 days. Tiangong-1 is China's first space module . It was sent into space in 2011. It will be developed into a large space station around 2020. A space station is a lab for scientific studies.Shenzhou X performed its first docking with Tangong-1 on June 13. It docked twice during the 15 days. The US, Russia, Japan, Canada and Europe are working together on the International Space Station (ISS).China wanted to join the ISS but was refused by the US. China decided to build its own space station. Shenzhou X flew around the Tianggong-1 lab for the first time. This was to make sure that spacecraft could dock from more than just one direction. The astronauts carried out repair work and did experiments on the Tiangong-1. Teaching from space Wang Yaping, China's second woman astronaut, taught high school and primary school students about space science. Wang talked about how things move in a micro-gravity environment. This helped the students better understand some physics ideas, like Newton's Law. The lessons aimed to encourage more students to learn about the universe and science. Life up in space The three astronauts followed a work and rest schedule that is similar on the Earth. They had Chinese dishes, such as Kung Pao Chicken and fried rice. The food was kept in special bags. At the time of the Dragon Boat Festival, they had Zongzi.	['on June 11, 2013']
According to the passage, Rajput heritage_.	India has a very vast history and heritage. The country has witnessed some of the most important events in the past and every event has an effect of its own on the culture, religion, lifestyle, and economy of the country. This is one of the leading reasons why tourists prefer India to travel and explore. Historical tours in India provide everything that a traveler expects from his/her journey. These historical tours give an opportunity to study and explore Indian history. Historical tours of India generally consisted of four phases: ancient, medieval , modern India and contemporary India. Some of the historical travel packages are: Forts and Palaces The rich cultural past of India is reflected in the countless forts and palaces across the country. Most of the forts were constructed as a defense device to keep the enemy away and palaces were made on the names of the kings and queens. Some of the famous forts and palaces are: Agra Fort (Agra), Fatehpur Sikri (Agra), Hawa Mahal (Jaipur), Amber Fort (Jaipur), City Palace (Jaipur), Gwalior Fort (Gwalior), Mysore Palace (Mysore), Red Fort (Delhi), etc. India Heritage Tours The main purpose of India Heritage tours is to make Indians as well as tourists familiar with the rich Indian legacy . The heritage of the country is at least 5000 years. Some of the heritage tours are: medieval heritage, Rajput heritage, Golden Triangle, splendid Gujarat, etc. South India Historical Tours The Southern India is known for its diversity and there are many places, which attract tourists, not only from the country but also from all around the world. The famous tourists' destinations in South India include Goa, Cochin, Kerala, Munnar, Periyar, Kottayam and the list goes on and on.	['is one of the heritages in India']
Which of the following can best describe the children's feelings while making their first bread?	"""Mom, can I bake some bread?"" We were 15, my best friend, Hanna, and I, determined to try our hands at creating some beautiful bread. ""It's not worth the trouble,"" my mother said. ""It takes lots of time and makes a big mess. Our bakery bread is delicious without all that effort."" Begging was useless. Mom's ""no"" meant ""No!"" But several weeks later, opportunity knocked: My parents were going out for the evening. I immediately invited Hanna to be my partner in bread-baking crime. We studied the recipe. That was easy. ""Mix oil into flour then beat in four of the eggs, one at a time, with remaining sugar and salt."" We were not good at breaking eggs. I tried to learn from my mother. ""Gradually add eight cups of flour. When dough holds together, squeeze it."" We took turns working like that. ""Is the dough 'holding together'?"" we asked each other. I remembered my neighbor's instructions: ""If it's too sticky, add some flour; if too dry, add water."" We added water. Then more flour. Then more water. By then, the mass of our dough had grown very much. ""Place dough on floured surface and squeeze till smooth,"" the recipe instructed. We took turns burying our hands in the damp dough, pinching, squeezing, and feeling it leak between fingers. ""Clean and oil bowl, then return dough to bowl. Cover and let dough rise in warm place for 1 hour."" This was good news --- we'd have a break. On dirtied kitchen chairs, we dreamed about our beautiful bread. ""See?"" we would tell my mom. ""Isn't it worth the work?"" Hanna and I couldn't help glancing at the rising process every few minutes. But nothing was happening. ""Maybe something will happen in the hot oven,"" I said. Unfortunately, when we removed the loaves from the oven, they were like hard stones. Mom was right; it takes time and effort. It sometimes makes a mess. But still it feels good, somehow, to be part of that long, ongoing chain of bread bakers. Since that night, both Hanna and I have learned to do it right."	['Curious; hopeful; disappointed.']
The author's attitude toward the Peales is in general_.	The Peales were a famous family of American artists.Charles Willson Peale is best remembered for his portraits of leading figures of the American Revolution.He painted portraits of Franklin and Jefferson and over a dozen of George Washington.His life-size portrait of his sons Raphaelle and Titian was so realistic that George Washington reportedly once tipped his hat to the figures in the picture. Charles Willson Peale gave up painting in his middle age and devoted his life to the Peale seum,which he founded in Philadelphia.The world's first popular museum of art and natural science mainly covered paintings by Peale and his family as well as displays of animals in their natural settings Peale found the animals himself and found a method to make the exhibits more lifelike.The museum's most popular display was the skeleton of a huge,extinct elephant,which Peale unearthed on a New York farm in l801. Three of Peale's seventeen children were also famous artists.Raphaelle Peale often painted still lives of flowers,fruit,and cheese.His brother Rembrandt studied under his father and painted portraits of many noted people,including one of George Washington. Another brother,Rubens Peale,painted mostly landscapes and portraits. James Peale.the brother of Charles Willson Peale,specialized in miniatures .His daughter Sarah Miriam Peale was probably the first professional female portrait painter in America	['admiring']
The best title of this passage is _ .	All students should have good study habits. When you have good study habits, you can learn things quickly. You also remember them easily . Do you like to study in the living-room? This is not a good place because it is usually too noisy. You should study in a quiet place, like your bedroom. A quiet place will help you only think about one thing, and you will learn better. Before you begin to study, do not forget to clean your desk. A good desk light is important, too .You'll feel tired easily if there is not much light .	['Good Study Habits']
It can be inferred from the passage that Yocum and Bell _ .	"Most young architects--particularly those in big cities--can only dream about working in a building of their own. And making that dream come true often means finding a building no one else seems to want, which is exactly what happened to David Yocum and his partner, Brain Bell. Their building is a former automobile electrical--parts firm in Atlanta. From the outside, it looks too old, even something horrible, but open the door and you are in a wide, open courtyard, lined on three sides with rusting walls. In 2000, Yocum and Bell found this building in the city's West End. Built in 1947, the structure had been abandoned years earlier and the roof of the main building had fallen down. But the price was right, so Yocum bought it. He spent eight months of his off-hours on demolition , pulling rubbish out through the roof, because it was too dangerous to go inside the building, The demolition was hard work, but it gave him time to think about what he wanted to do, and ""to treasure what was there--the walls, the rust, the light,"" Yocum said. ""Every season, more paint falls off the walls and more rust develops. It's like an art installation in there--a slow-motion show."" Since the back building had been constructed without windows, an all-glass front was added to the building to give it a view of the courtyard, and skylights were installed in the roof. The back of the building is a working area and a living room for Yocum and his wife. A sort of buffer zone between the front and the back contains a bathroom, a kitchen and a mechanical room, and the walls that separate these zones have openings that allow views through to the front of the studio and the courtyard beyond. Yocum and Bell, who have just completed an art gallery for the city, feel that the experience from the decoration of their building, focusing on the inside rather than the outside, has influenced their work. It has also given these architects a chance to show how they can make more out of less."	['got inspiration from decorating their old building']
A school ranking list tells you _ .	Living abroad to study can certainly be an interesting experience but is that alone a good enough reason for spending years far away from home? To make the experience truly worthwhile, there has to be a goal behind the decision to study abroad. This may be a wish to perfect language skills in a foreign language environment, or a clever move in your career development. You must also consider the costs, not just of living and studying abroad, but of applying. Most universities now charge application fees for international students. If after considering these points you are sure that you want to apply to study abroad, your next step is to choose the right programme of studies. Research your choices and select carefully. You must do your homework well. Most universities have information online but you can also email and ask them to send you more details. You can find a lot of information on school ranking from education websites. But read carefully. Different universities emphasize different strengths. Don't just think about the university's reputation ; look for the most suitable for your goals. Next, you must deal with a large pile of paperwork. This involves filling in application form, preparing your school records, and getting reference letters. Reading the instructions and requirements of the universities carefully is of great importance. Sadly, many fine applicants get kicked out in the first round, simply because they don't follow the application procedure properly. Money is another important consideration. Some scholarships are provided by governments, others by schools and colleges. This information, again, can be found on the Internet. If you find a scholarship that is suitable for you, follow the application procedure carefully; the earlier you apply, the better your chance of getting it.	['how good the school is compared to others']
Your long-term memory includes _ .	"""Memorize these words."" ""Learn this spelling rule."" ""Don't forget about the exam tomorrow."" You remember things every day, but how do you do it? When you want to call a store or an office that you don't call often, you look in the telephone book for the number. You _ the number, and then you forget it! You use your short-term memory to remember the number. Your short-term memory lasts about half a minute. However, you don't need to look in the telephone book for your best friend's number because you already know it. This information is in your long-term memory. Your long-term memory has everything that you remember through the years. The major reason for forgetting something is because you do not learn it well at the beginning. For example, you meet some new people, and right away you forget their names. You hear the names but you do not learn them, so you forget them."	['almost everything that you remember through the years']
From the passage we can learn that_.	"There were times when it was only schoolchildren who felt sick before they got their grades.But now teachers in prefix = st1 /Germanyare scared, too, as they are being graded by their students. Many teachers are opposed to it.They don't mind being evaluated.But they are upset because the results are then being posted on the Internet and accessible to millions of Internet users.On the website www.spickmich.deduring the past four months students have posted evaluations of 100,000 teachers. The teachers are graded on categories such as ""motivated"", ""good instruction,"" ""easy examinations"", or even ""sexy."" Many teachers think that their privacy has been violated. The creators of the website say that the students are only being offered the chance to provide teachers with some feedback about their classroom instruction.Bernd Dicks, who founded the website with three friends, says that the students are largely quite satisfied with their teachers.On a grading scale of one to six, the teachers' average grade is 2.7 and it has been improving lately.He often says the impression is that students are bullying their teachers.But there is also bullying of the students by teachers. ""Teachers must also learn to live with criticism,"" he added.But still, the website is not totally immune from manipulation , as one teacher near the northern city of Hanover recently proved.He registered himself on the website as a student and then rated his own teaching colleagues highly.Within a few days, seven of his colleagues were listed in the top 10 rankings of Germany's best teachers."	['teachers have different opinions of the website']
You have arrived at the hotel at 2.a.m. and want a quick meal, what should you do?	"Welcome to Franklin Hotel. To make you stay as enjoyable as possible. We hope you will use our facilities to the full. Dining Room:Breakfast is served in the dining room from 8 to 9:30 a.m. Also the room staff may bring breakfast to your room at any time after 7 a.m. If this happens, please fill out a card and hang outside your door when you go to bed. Lunch is from 12 to 2:30 p.m. Dinner from 7:30 to 9 p.m. Room service:This operates 24 hours a day; phone the reception desk, and your massage will be passed on the staff. Telephones: To make a phone call. Dial ""0""for reception and ask to be connected. We apologized for delays if the lines are very busy. These are also public telephones near the Reception Desk. Tell Reception if early calls are needed. Shop: The hotel shop is open for presents, gifts and goods from 9 a.m. to 5:30 p.m. Laundry: we have a laundry in the building, and will wash, iron and return your clothes within 24 hours, ask the room staff to collect them. Bar :The hotel bar is open from 12 to 2 p.m. and 7 p.m. to 1 a.m. Banking: The reception staff will cash cheques and exchange any foreign money for you."	['Hang a message outside your door']
